Date,News Headline,News Body,Sentiment Score,Closing Price,Next Day Prediction
2023-04-18 14:56:29,AAPL Stock Alert: How to Earn 4.15% With Apple and Goldman Sachs - InvestorPlace,"<a href=""https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMy8wNC9hYXBsLXN0b2NrLWFsZXJ0LWhvdy10by1lYXJuLTQtMTUtd2l0aC1hcHBsZS1hbmQtZ29sZG1hbi1zYWNocy_SAQA?oc=5"" target=""_blank"">AAPL Stock Alert: How to Earn 4.15% With Apple and Goldman Sachs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestorPlace</font>",0.296,166.47000122070312,167.6300048828125
2023-04-17 23:58:00,Wedbush Reiterates Apple (AAPL) Outperform Recommendation - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2VkYnVzaC1yZWl0ZXJhdGVzLWFwcGxlLWFhcGwtb3V0cGVyZm9ybS1yZWNvbW1lbmRhdGlvbtIBAA?oc=5"" target=""_blank"">Wedbush Reiterates Apple (AAPL) Outperform Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",0.0,165.22999572753906,166.47000122070312
2023-04-19 14:16:02,AAPL: FAANG Stocks META and AAPL Maintain Quality With A ... - StockNews.com,"<a href=""https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL2FhcGwtbWV0YS1mYWFuZy1zdG9ja3MtbWV0YS1hbmQtYWFwbC1tYWludGFpbi1xdWFsaXR5LXdpdGgtYS1yYXRpbmdzL9IBAA?oc=5"" target=""_blank"">AAPL: FAANG Stocks META and AAPL Maintain Quality With A ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">StockNews.com</font>",0.0,167.6300048828125,166.64999389648438
2023-04-13 16:20:34,"Stocks making the biggest moves midday: Apple, Tesla, Netflix, Bed Bath & Beyond & more - CNBC","<a href=""https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDQvMTMvc3RvY2tzLW1ha2luZy10aGUtYmlnZ2VzdC1tb3Zlcy1taWRkYXktYWFwbC10c2xhLW5mbHgtYmJieS1hbmQtbW9yZS5odG1s0gFsaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMDQvMTMvc3RvY2tzLW1ha2luZy10aGUtYmlnZ2VzdC1tb3Zlcy1taWRkYXktYWFwbC10c2xhLW5mbHgtYmJieS1hbmQtbW9yZS5odG1s?oc=5"" target=""_blank"">Stocks making the biggest moves midday: Apple, Tesla, Netflix, Bed Bath & Beyond & more</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",0.0,165.55999755859375,165.2100067138672
2023-04-13 12:26:41,AAPL is Eyeing Suppliers in Thailand for MacBooks - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FhcGwtaXMtZXllaW5nLXN1cHBsaWVycy1pbi10aGFpbGFuZC1mb3ItbWFjYm9va3PSAQA?oc=5"" target=""_blank"">AAPL is Eyeing Suppliers in Thailand for MacBooks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",0.0,165.55999755859375,165.2100067138672
2023-04-13 14:23:43,Is Apple Inc (AAPL) Stock a Smart Investment Thursday? - InvestorsObserver,"<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmludmVzdG9yc29ic2VydmVyLmNvbS9uZXdzL3N0b2NrLXVwZGF0ZS9pcy1hcHBsZS1pbmMtYWFwbC1zdG9jay1hLXNtYXJ0LWludmVzdG1lbnQtdGh1cnNkYXktMtIBbWh0dHBzOi8vd3d3LmludmVzdG9yc29ic2VydmVyLmNvbS9uZXdzL3N0b2NrLXVwZGF0ZS9hbXAvaXMtYXBwbGUtaW5jLWFhcGwtc3RvY2stYS1zbWFydC1pbnZlc3RtZW50LXRodXJzZGF5LTI?oc=5"" target=""_blank"">Is Apple Inc (AAPL) Stock a Smart Investment Thursday?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestorsObserver</font>",0.4696,165.55999755859375,165.2100067138672
2023-04-18 12:30:00,"YieldMax Launches APLY, the YieldMax AAPL Option Income Strategy ETF - Yahoo Finance","<a href=""https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy95aWVsZG1heC1sYXVuY2hlcy1hcGx5LXlpZWxkbWF4LWFhcGwtMTIzMDAwODExLmh0bWzSAVpodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy95aWVsZG1heC1sYXVuY2hlcy1hcGx5LXlpZWxkbWF4LWFhcGwtMTIzMDAwODExLmh0bWw?oc=5"" target=""_blank"">YieldMax Launches APLY, the YieldMax AAPL Option Income Strategy ETF</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",0.0,166.47000122070312,167.6300048828125
2023-03-22 07:00:00,"AMZN, AAPL, or NFLX: Which FAANG Stock is the Best Pick? - TipRanks","<a href=""https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FydGljbGUvYW16bi1hYXBsLW9yLW5mbHgtd2hpY2gtZmFhbmctc3RvY2staXMtdGhlLWJlc3QtcGlja9IBAA?oc=5"" target=""_blank"">AMZN, AAPL, or NFLX: Which FAANG Stock is the Best Pick?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",0.6767,157.8300018310547,158.92999267578125
2023-04-11 15:13:34,Do Traders Think Apple Inc (AAPL) Can Turn Around Tuesday? - InvestorsObserver,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmludmVzdG9yc29ic2VydmVyLmNvbS9uZXdzL3N0b2NrLXVwZGF0ZS9kby10cmFkZXJzLXRoaW5rLWFwcGxlLWluYy1hYXBsLWNhbi10dXJuLWFyb3VuZC10dWVzZGF50gFvaHR0cHM6Ly93d3cuaW52ZXN0b3Jzb2JzZXJ2ZXIuY29tL25ld3Mvc3RvY2stdXBkYXRlL2FtcC9kby10cmFkZXJzLXRoaW5rLWFwcGxlLWluYy1hYXBsLWNhbi10dXJuLWFyb3VuZC10dWVzZGF5?oc=5"" target=""_blank"">Do Traders Think Apple Inc (AAPL) Can Turn Around Tuesday?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestorsObserver</font>",0.0,160.8000030517578,160.10000610351562
2023-04-03 07:00:00,Wedbush Sees More Room to Run for AAPL - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FhcGwtZ2V0cy1hbi1hbmFseXN0LXVwZ3JhZGXSAQA?oc=5"" target=""_blank"">Wedbush Sees More Room to Run for AAPL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",0.0,166.1699981689453,165.6300048828125
