date,closingprice,nextdayPrice
2020-01-02 00:00:00-05:00,73.44939422607422,72.73531341552734
2020-01-03 00:00:00-05:00,72.73531341552734,73.31491088867188
2020-01-06 00:00:00-05:00,73.31491088867188,72.9700927734375
2020-01-07 00:00:00-05:00,72.9700927734375,74.1438980102539
2020-01-08 00:00:00-05:00,74.1438980102539,75.7187728881836
2020-01-09 00:00:00-05:00,75.7187728881836,75.88996124267578
2020-01-10 00:00:00-05:00,75.88996124267578,77.51129913330078
2020-01-13 00:00:00-05:00,77.51129913330078,76.46463775634766
2020-01-14 00:00:00-05:00,76.46463775634766,76.136962890625
2020-01-15 00:00:00-05:00,76.136962890625,77.09066772460938
2020-01-16 00:00:00-05:00,77.09066772460938,77.94415283203125
2020-01-17 00:00:00-05:00,77.94415283203125,77.41593170166016
2020-01-21 00:00:00-05:00,77.41593170166016,77.69226837158203
2020-01-22 00:00:00-05:00,77.69226837158203,78.06640625
2020-01-23 00:00:00-05:00,78.06640625,77.84143829345703
2020-01-24 00:00:00-05:00,77.84143829345703,75.552490234375
2020-01-27 00:00:00-05:00,75.552490234375,77.6898193359375
2020-01-28 00:00:00-05:00,77.6898193359375,79.31605529785156
2020-01-29 00:00:00-05:00,79.31605529785156,79.20110321044922
2020-01-30 00:00:00-05:00,79.20110321044922,75.6894302368164
2020-01-31 00:00:00-05:00,75.6894302368164,75.48155212402344
2020-02-03 00:00:00-05:00,75.48155212402344,77.97350311279297
2020-02-04 00:00:00-05:00,77.97350311279297,78.60932159423828
2020-02-05 00:00:00-05:00,78.60932159423828,79.52880859375
2020-02-06 00:00:00-05:00,79.52880859375,78.44779205322266
2020-02-07 00:00:00-05:00,78.44779205322266,78.82038116455078
2020-02-10 00:00:00-05:00,78.82038116455078,78.34483337402344
2020-02-11 00:00:00-05:00,78.34483337402344,80.20535278320312
2020-02-12 00:00:00-05:00,80.20535278320312,79.63420867919922
2020-02-13 00:00:00-05:00,79.63420867919922,79.65380859375
2020-02-14 00:00:00-05:00,79.65380859375,78.1953353881836
2020-02-18 00:00:00-05:00,78.1953353881836,79.32779693603516
2020-02-19 00:00:00-05:00,79.32779693603516,78.51396942138672
2020-02-20 00:00:00-05:00,78.51396942138672,76.73680114746094
2020-02-21 00:00:00-05:00,76.73680114746094,73.09178924560547
2020-02-24 00:00:00-05:00,73.09178924560547,70.61600494384766
2020-02-25 00:00:00-05:00,70.61600494384766,71.73624420166016
2020-02-26 00:00:00-05:00,71.73624420166016,67.04696655273438
2020-02-27 00:00:00-05:00,67.04696655273438,67.00775146484375
2020-02-28 00:00:00-05:00,67.00775146484375,73.24620819091797
2020-03-02 00:00:00-05:00,73.24620819091797,70.91996002197266
2020-03-03 00:00:00-05:00,70.91996002197266,74.20954895019531
2020-03-04 00:00:00-05:00,74.20954895019531,71.80242156982422
2020-03-05 00:00:00-05:00,71.80242156982422,70.848876953125
2020-03-06 00:00:00-05:00,70.848876953125,65.24528503417969
2020-03-09 00:00:00-04:00,65.24528503417969,69.9443588256836
2020-03-10 00:00:00-04:00,69.9443588256836,67.51515197753906
2020-03-11 00:00:00-04:00,67.51515197753906,60.84770965576172
2020-03-12 00:00:00-04:00,60.84770965576172,68.13777923583984
2020-03-13 00:00:00-04:00,68.13777923583984,59.3720588684082
2020-03-16 00:00:00-04:00,59.3720588684082,61.98265838623047
2020-03-17 00:00:00-04:00,61.98265838623047,60.46532440185547
2020-03-18 00:00:00-04:00,60.46532440185547,60.002037048339844
2020-03-19 00:00:00-04:00,60.002037048339844,56.192779541015625
2020-03-20 00:00:00-04:00,56.192779541015625,54.99900436401367
2020-03-23 00:00:00-04:00,54.99900436401367,60.51679992675781
2020-03-24 00:00:00-04:00,60.51679992675781,60.183433532714844
2020-03-25 00:00:00-04:00,60.183433532714844,63.3504638671875
2020-03-26 00:00:00-04:00,63.3504638671875,60.72760772705078
2020-03-27 00:00:00-04:00,60.72760772705078,62.460655212402344
2020-03-30 00:00:00-04:00,62.460655212402344,62.33317565917969
2020-03-31 00:00:00-04:00,62.33317565917969,59.053401947021484
2020-04-01 00:00:00-04:00,59.053401947021484,60.03880310058594
2020-04-02 00:00:00-04:00,60.03880310058594,59.17596435546875
2020-04-03 00:00:00-04:00,59.17596435546875,64.33832550048828
2020-04-06 00:00:00-04:00,64.33832550048828,63.59313201904297
2020-04-07 00:00:00-04:00,63.59313201904297,65.22078704833984
2020-04-08 00:00:00-04:00,65.22078704833984,65.69142150878906
2020-04-09 00:00:00-04:00,65.69142150878906,66.98077392578125
2020-04-13 00:00:00-04:00,66.98077392578125,70.36351776123047
2020-04-14 00:00:00-04:00,70.36351776123047,69.72130584716797
2020-04-15 00:00:00-04:00,69.72130584716797,70.27527618408203
2020-04-16 00:00:00-04:00,70.27527618408203,69.32173156738281
2020-04-17 00:00:00-04:00,69.32173156738281,67.88285064697266
2020-04-20 00:00:00-04:00,67.88285064697266,65.78457641601562
2020-04-21 00:00:00-04:00,65.78457641601562,67.67940521240234
2020-04-22 00:00:00-04:00,67.67940521240234,67.41710662841797
2020-04-23 00:00:00-04:00,67.41710662841797,69.36341094970703
2020-04-24 00:00:00-04:00,69.36341094970703,69.41244506835938
2020-04-27 00:00:00-04:00,69.41244506835938,68.28730010986328
2020-04-28 00:00:00-04:00,68.28730010986328,70.53021240234375
2020-04-29 00:00:00-04:00,70.53021240234375,72.01811981201172
2020-04-30 00:00:00-04:00,72.01811981201172,70.85868835449219
2020-05-01 00:00:00-04:00,70.85868835449219,71.86125946044922
